id,product,category,unit,district,marketPrice,psbaPrice,difference,status,date
6a151f2c443f22e2e1cd70ea,Chicken,Meat & Eggs,kg,Chakwal,483,475,8,approved,2026-05-26T04:18:52.719Z
6a151ca8443f22e2e1cd701c,Chicken,Meat & Eggs,kg,Toba-Tek-Singh,461,456,5,approved,2026-05-26T04:08:08.386Z
6a151a7c443f22e2e1cd6f7e,Chicken,Meat & Eggs,kg,Sialkot,476,469,7,approved,2026-05-26T03:58:52.908Z
6a15199e443f22e2e1cd6e9d,Chicken,Meat & Eggs,kg,Kasur,475,470,5,approved,2026-05-26T03:55:10.559Z
6a1518b0443f22e2e1cd6d70,Chicken,Meat & Eggs,kg,Faisalabad,461,456,5,approved,2026-05-26T03:51:12.552Z
6a151896443f22e2e1cd6d30,Chicken,Meat & Eggs,kg,Pakpattan,468,463,5,approved,2026-05-26T03:50:46.558Z
6a151884443f22e2e1cd6ca0,Chicken,Meat & Eggs,kg,Muzaffargarh,468,460,8,approved,2026-05-26T03:50:28.677Z
6a151842443f22e2e1cd6c40,Chicken,Meat & Eggs,kg,Layyah,469,467,2,approved,2026-05-26T03:49:22.327Z
6a1517cc443f22e2e1cd6b86,Chicken,Meat & Eggs,kg,Khushab,482,480,2,approved,2026-05-26T03:47:24.662Z
6a151797443f22e2e1cd6b10,Chicken,Meat & Eggs,kg,Hafizabad,475,470,5,approved,2026-05-26T03:46:31.977Z
6a1516ff443f22e2e1cd6ab0,Chicken,Meat & Eggs,kg,Vehari,445,440,5,approved,2026-05-26T03:43:59.472Z
6a15162f443f22e2e1cd6a20,Chicken,Meat & Eggs,kg,D.G. Khan,468,463,5,approved,2026-05-26T03:40:31.299Z
6a1515f0443f22e2e1cd698e,Chicken,Meat & Eggs,kg,Sheikhupura,475,470,5,approved,2026-05-26T03:39:28.183Z
6a1514f6443f22e2e1cd691d,Chicken,Meat & Eggs,kg,Sahiwal,475,468,7,approved,2026-05-26T03:35:18.662Z
6a15143c443f22e2e1cd685a,Chicken,Meat & Eggs,kg,Bhakkar,461,456,5,approved,2026-05-26T03:32:12.169Z
6a1513fb443f22e2e1cd67c1,Chicken,Meat & Eggs,kg,Chiniot,461,450,11,approved,2026-05-26T03:31:07.926Z
6a15133b443f22e2e1cd672a,Chicken,Meat & Eggs,kg,Rajanpur,468,463,5,approved,2026-05-26T03:27:55.513Z
6a15125d443f22e2e1cd667e,Chicken,Meat & Eggs,kg,Okara,475,468,7,approved,2026-05-26T03:24:13.587Z
6a15125b443f22e2e1cd660c,Chicken,Meat & Eggs,kg,Khanewal,440,425,15,approved,2026-05-26T03:24:11.351Z
6a1511d7443f22e2e1cd659f,Chicken,Meat & Eggs,kg,Bahawalpur,440,435,5,approved,2026-05-26T03:21:59.448Z
6a15111d443f22e2e1cd64d6,Chicken,Meat & Eggs,kg,Lodhran,445,440,5,approved,2026-05-26T03:18:53.385Z
6a151078443f22e2e1cd6441,Chicken,Meat & Eggs,kg,Wazirabad,475,468,7,approved,2026-05-26T03:16:08.459Z
6a150f4b443f22e2e1cd639d,Chicken,Meat & Eggs,kg,Lahore,475,468,7,approved,2026-05-26T03:11:07.366Z
6a150ee7443f22e2e1cd6311,Chicken,Meat & Eggs,kg,Rawalpindi,497,495,2,approved,2026-05-26T03:09:27.025Z
6a150ee1443f22e2e1cd62bf,Chicken,Meat & Eggs,kg,Gujrat,475,470,5,approved,2026-05-26T03:09:21.228Z
6a150e21443f22e2e1cd61fb,Chicken,Meat & Eggs,kg,Taunsa-Sharif,468,463,5,approved,2026-05-26T03:06:09.421Z
6a150e17443f22e2e1cd6131,Chicken,Meat & Eggs,kg,Jhang,461,456,5,approved,2026-05-26T03:05:59.272Z
6a150d99443f22e2e1cd60be,Chicken,Meat & Eggs,kg,Multan,446,441,5,approved,2026-05-26T03:03:53.259Z
