id,product,category,unit,image,district,marketPrice,psbaPrice,difference,status,date
6a1bb716a01ef6264d72cfb7,Chicken,Meat & Eggs,kg,https://i.chaldn.com/_mpimage/whole-layer-chicken-skin-off-net-weight-50-gm-800-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D111432&q=best&v=1&m=400&webp=1,Rawalpindi,482,480,2,approved,2026-05-31T05:53:14.385Z
6a1bc95da01ef6264d72d89d,Chicken,Meat & Eggs,kg,https://i.chaldn.com/_mpimage/whole-layer-chicken-skin-off-net-weight-50-gm-800-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D111432&q=best&v=1&m=400&webp=1,Chiniot,468,460,8,approved,2026-05-31T05:38:37.075Z
6a1bb9bfa01ef6264d72d143,Chicken,Meat & Eggs,kg,https://i.chaldn.com/_mpimage/whole-layer-chicken-skin-off-net-weight-50-gm-800-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D111432&q=best&v=1&m=400&webp=1,Toba-Tek-Singh,468,463,5,approved,2026-05-31T04:31:59.719Z
6a1bb899a01ef6264d72d0a7,Chicken,Meat & Eggs,kg,https://i.chaldn.com/_mpimage/whole-layer-chicken-skin-off-net-weight-50-gm-800-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D111432&q=best&v=1&m=400&webp=1,Chakwal,468,460,8,approved,2026-05-31T04:27:05.942Z
6a1bb7e4a01ef6264d72d05d,Chicken,Meat & Eggs,kg,https://i.chaldn.com/_mpimage/whole-layer-chicken-skin-off-net-weight-50-gm-800-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D111432&q=best&v=1&m=400&webp=1,Rajanpur,476,471,5,approved,2026-05-31T04:24:04.229Z
6a1bb6a0a01ef6264d72cf3f,Chicken,Meat & Eggs,kg,https://i.chaldn.com/_mpimage/whole-layer-chicken-skin-off-net-weight-50-gm-800-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D111432&q=best&v=1&m=400&webp=1,Sialkot,475,468,7,approved,2026-05-31T04:18:40.737Z
6a1bb609a01ef6264d72ce0e,Chicken,Meat & Eggs,kg,https://i.chaldn.com/_mpimage/whole-layer-chicken-skin-off-net-weight-50-gm-800-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D111432&q=best&v=1&m=400&webp=1,Bhakkar,461,459,2,approved,2026-05-31T04:16:09.403Z
6a1bb3d0a01ef6264d72cd55,Chicken,Meat & Eggs,kg,https://i.chaldn.com/_mpimage/whole-layer-chicken-skin-off-net-weight-50-gm-800-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D111432&q=best&v=1&m=400&webp=1,Muzaffargarh,476,470,6,approved,2026-05-31T04:06:40.239Z
6a1bb2f7a01ef6264d72ccdd,Chicken,Meat & Eggs,kg,https://i.chaldn.com/_mpimage/whole-layer-chicken-skin-off-net-weight-50-gm-800-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D111432&q=best&v=1&m=400&webp=1,Hafizabad,475,470,5,approved,2026-05-31T04:03:03.198Z
6a1bb1b0a01ef6264d72cc45,Chicken,Meat & Eggs,kg,https://i.chaldn.com/_mpimage/whole-layer-chicken-skin-off-net-weight-50-gm-800-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D111432&q=best&v=1&m=400&webp=1,Pakpattan,468,463,5,approved,2026-05-31T03:57:36.335Z
6a1bb0f9a01ef6264d72cba1,Chicken,Meat & Eggs,kg,https://i.chaldn.com/_mpimage/whole-layer-chicken-skin-off-net-weight-50-gm-800-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D111432&q=best&v=1&m=400&webp=1,Kasur,475,470,5,approved,2026-05-31T03:54:33.655Z
6a1bb0f1a01ef6264d72cb65,Chicken,Meat & Eggs,kg,https://i.chaldn.com/_mpimage/whole-layer-chicken-skin-off-net-weight-50-gm-800-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D111432&q=best&v=1&m=400&webp=1,Bahawalpur,452,447,5,approved,2026-05-31T03:54:25.557Z
6a1bb0b0a01ef6264d72cb00,Chicken,Meat & Eggs,kg,https://i.chaldn.com/_mpimage/whole-layer-chicken-skin-off-net-weight-50-gm-800-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D111432&q=best&v=1&m=400&webp=1,Vehari,450,445,5,approved,2026-05-31T03:53:20.999Z
6a1bb0aca01ef6264d72ca88,Chicken,Meat & Eggs,kg,https://i.chaldn.com/_mpimage/whole-layer-chicken-skin-off-net-weight-50-gm-800-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D111432&q=best&v=1&m=400&webp=1,Wazirabad,475,468,7,approved,2026-05-31T03:53:16.374Z
6a1baed0a01ef6264d72c981,Chicken,Meat & Eggs,kg,https://i.chaldn.com/_mpimage/whole-layer-chicken-skin-off-net-weight-50-gm-800-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D111432&q=best&v=1&m=400&webp=1,Lodhran,452,447,5,approved,2026-05-31T03:45:20.174Z
6a1bade2a01ef6264d72c8e8,Chicken,Meat & Eggs,kg,https://i.chaldn.com/_mpimage/whole-layer-chicken-skin-off-net-weight-50-gm-800-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D111432&q=best&v=1&m=400&webp=1,Taunsa-Sharif,476,471,5,approved,2026-05-31T03:41:22.202Z
6a1badcda01ef6264d72c7b7,Chicken,Meat & Eggs,kg,https://i.chaldn.com/_mpimage/whole-layer-chicken-skin-off-net-weight-50-gm-800-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D111432&q=best&v=1&m=400&webp=1,Khanewal,450,435,15,approved,2026-05-31T03:41:01.624Z
6a1bab56a01ef6264d72c6ea,Chicken,Meat & Eggs,kg,https://i.chaldn.com/_mpimage/whole-layer-chicken-skin-off-net-weight-50-gm-800-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D111432&q=best&v=1&m=400&webp=1,Sahiwal,475,468,7,approved,2026-05-31T03:30:30.191Z
6a1baadda01ef6264d72c68e,Chicken,Meat & Eggs,kg,https://i.chaldn.com/_mpimage/whole-layer-chicken-skin-off-net-weight-50-gm-800-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D111432&q=best&v=1&m=400&webp=1,Gujranwala,475,465,10,approved,2026-05-31T03:28:29.920Z
6a1baa3ca01ef6264d72c5e8,Chicken,Meat & Eggs,kg,https://i.chaldn.com/_mpimage/whole-layer-chicken-skin-off-net-weight-50-gm-800-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D111432&q=best&v=1&m=400&webp=1,Khushab,468,465,3,approved,2026-05-31T03:25:48.276Z
6a1ba90fa01ef6264d72c58c,Chicken,Meat & Eggs,kg,https://i.chaldn.com/_mpimage/whole-layer-chicken-skin-off-net-weight-50-gm-800-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D111432&q=best&v=1&m=400&webp=1,Multan,452,447,5,approved,2026-05-31T03:20:47.120Z
6a1ba8d1a01ef6264d72c50c,Chicken,Meat & Eggs,kg,https://i.chaldn.com/_mpimage/whole-layer-chicken-skin-off-net-weight-50-gm-800-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D111432&q=best&v=1&m=400&webp=1,Jhang,468,463,5,approved,2026-05-31T03:19:45.827Z
6a1ba8c0a01ef6264d72c4b4,Chicken,Meat & Eggs,kg,https://i.chaldn.com/_mpimage/whole-layer-chicken-skin-off-net-weight-50-gm-800-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D111432&q=best&v=1&m=400&webp=1,Layyah,461,459,2,approved,2026-05-31T03:19:28.944Z
6a1ba848a01ef6264d72c413,Chicken,Meat & Eggs,kg,https://i.chaldn.com/_mpimage/whole-layer-chicken-skin-off-net-weight-50-gm-800-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D111432&q=best&v=1&m=400&webp=1,Okara,475,468,7,approved,2026-05-31T03:17:28.419Z
6a1ba815a01ef6264d72c39a,Chicken,Meat & Eggs,kg,https://i.chaldn.com/_mpimage/whole-layer-chicken-skin-off-net-weight-50-gm-800-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D111432&q=best&v=1&m=400&webp=1,Faisalabad,468,463,5,approved,2026-05-31T03:16:37.272Z
6a1ba740a01ef6264d72c2e6,Chicken,Meat & Eggs,kg,https://i.chaldn.com/_mpimage/whole-layer-chicken-skin-off-net-weight-50-gm-800-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D111432&q=best&v=1&m=400&webp=1,Sheikhupura,475,470,5,approved,2026-05-31T03:13:04.312Z
6a1ba684a01ef6264d72c2a7,Chicken,Meat & Eggs,kg,https://i.chaldn.com/_mpimage/whole-layer-chicken-skin-off-net-weight-50-gm-800-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D111432&q=best&v=1&m=400&webp=1,Sargodha,468,462,6,approved,2026-05-31T03:09:56.427Z
6a1ba63ea01ef6264d72c1f3,Chicken,Meat & Eggs,kg,https://i.chaldn.com/_mpimage/whole-layer-chicken-skin-off-net-weight-50-gm-800-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D111432&q=best&v=1&m=400&webp=1,Gujrat,475,470,5,approved,2026-05-31T03:08:46.239Z
6a1ba446a01ef6264d72c17a,Chicken,Meat & Eggs,kg,https://i.chaldn.com/_mpimage/whole-layer-chicken-skin-off-net-weight-50-gm-800-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D111432&q=best&v=1&m=400&webp=1,Lahore,475,468,7,approved,2026-05-31T03:00:22.287Z
6a1ba1f1a01ef6264d72c0b3,Chicken,Meat & Eggs,kg,https://i.chaldn.com/_mpimage/whole-layer-chicken-skin-off-net-weight-50-gm-800-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D111432&q=best&v=1&m=400&webp=1,Mianwali,475,472,3,approved,2026-05-31T02:50:25.867Z
6a1b9ae2e1e3adce1ad98a64,Chicken,Meat & Eggs,kg,https://i.chaldn.com/_mpimage/whole-layer-chicken-skin-off-net-weight-50-gm-800-gm?src=https%3A%2F%2Feggyolk.chaldal.com%2Fapi%2FPicture%2FRaw%3FpictureId%3D111432&q=best&v=1&m=400&webp=1,D.G. Khan,476,471,5,approved,2026-05-31T02:20:18.615Z
